Computer	Drive	FreeGB	SizeGB	FreePct
POKOJNAUCZ1-PC	C:	226,24	475,98	47,5
POKOJNAUCZ2-PC	C:	273,38	475,98	57,4
POKOJNAUCZ3-PC	C:	261,19	475,98	54,9
POKOJNAUCZ4-PC	C:	267,41	475,98	56,2
SALA10-LAP	C:	15,33	237,2	6,5
SALA11-LAP	C:	47,87	237,2	20,2
SALA12-LAP	C:	31,38	237,55	13,2
SALA13-LAP	C:	20,5	237,45	8,6
SALA15-LAP	C:	13,27	236,88	5,6
SALA16-LAP	C:	22,65	237,49	9,5
SALA17-LAP	C:	55,59	237,49	23,4
SALA18-LAP	C:	16,96	237,65	7,1
SALA19-LAP	C:	35,6	237,49	15
SALA20-LAP	C:	34,52	237,59	14,5
SALA21-LAP	C:	57,86	237,59	24,4
SALA22-LAP	C:	42,37	237,2	17,9
SALA23-LAP	C:	199,58	475,9	41,9
SALA25-LAP	C:	81,71	237,2	34,4
SALA27-LAP	C:	29,29	237,41	12,3
SALA29-LAP	C:	22,02	237,45	9,3
SALA30-LAP	C:	18,7	237,43	7,9
SALA32-LAP	C:	60,36	237,2	25,4
SALA33-LAP	C:	49,25	237,2	20,8
SALA34-LAP	C:	19,55	237,43	8,2
SALA35-PC	C:	318,89	476,08	67
SALA36-PC	C:	315,58	476,08	66,3
SALA37-PC	C:	298,01	476,1	62,6
